week,home_team,home_score_est,away_team,visitor_score_est,spread_line,home_moneyline,away_moneyline,total_line,win_prob,home_score_actual,away_score_actual
13,NO,19.5,DET,25.9,NA,NA,NA,NA,0.224,NA,NA
13,NYJ,23.5,ATL,19.9,NA,NA,NA,NA,0.534,NA,NA
13,PIT,21,ARI,26,NA,NA,NA,NA,0.258,NA,NA
13,TB,24.6,CAR,15,NA,NA,NA,NA,0.816,NA,NA
13,TEN,21.7,IND,21.1,NA,NA,NA,NA,0.442,NA,NA
13,WAS,24.3,MIA,27.9,NA,NA,NA,NA,0.279,NA,NA
13,HOU,28.2,DEN,22.3,NA,NA,NA,NA,0.638,NA,NA
13,LA,21.9,CLE,22.5,NA,NA,NA,NA,0.578,NA,NA
13,PHI,25.2,SF,25.7,NA,NA,NA,NA,0.417,NA,NA
13,GB,21.6,KC,27.2,NA,NA,NA,NA,0.346,NA,NA
13,JAX,25.2,CIN,18.3,NA,NA,NA,NA,0.739,NA,NA
14,PIT,18.3,NE,22.4,NA,NA,NA,NA,0.302,NA,NA
14,ATL,18.4,TB,24.2,NA,NA,NA,NA,0.312,NA,NA
14,BAL,28.4,LA,20,NA,NA,NA,NA,0.708,NA,NA
14,CHI,15.7,DET,32.4,NA,NA,NA,NA,0.077,NA,NA
14,CIN,21.8,IND,24.4,NA,NA,NA,NA,0.374,NA,NA
14,CLE,20.5,JAX,19.6,NA,NA,NA,NA,0.494,NA,NA
14,NO,25.2,CAR,15.6,NA,NA,NA,NA,0.775,NA,NA
14,NYJ,19.9,HOU,24.7,NA,NA,NA,NA,0.292,NA,NA
14,LV,20,MIN,27.6,NA,NA,NA,NA,0.181,NA,NA
14,SF,28.6,SEA,21.7,NA,NA,NA,NA,0.694,NA,NA
14,KC,23.7,BUF,26.8,NA,NA,NA,NA,0.344,NA,NA
14,LAC,29.5,DEN,23.7,NA,NA,NA,NA,0.722,NA,NA
14,DAL,21.9,PHI,22.3,NA,NA,NA,NA,0.461,NA,NA
14,MIA,26.4,TEN,22,NA,NA,NA,NA,0.777,NA,NA
14,NYG,18.8,GB,26.5,NA,NA,NA,NA,0.215,NA,NA
15,LV,20.6,LAC,29.8,NA,NA,NA,NA,0.125,NA,NA
15,CAR,21.5,ATL,22.2,NA,NA,NA,NA,0.434,NA,NA
15,CIN,22.4,MIN,26.3,NA,NA,NA,NA,0.299,NA,NA
15,CLE,25.3,CHI,14.3,NA,NA,NA,NA,0.805,NA,NA
15,DET,31.3,DEN,18.9,NA,NA,NA,NA,0.84,NA,NA
15,GB,22,TB,23,NA,NA,NA,NA,0.491,NA,NA
15,IND,23.2,PIT,18,NA,NA,NA,NA,0.716,NA,NA
15,MIA,27.7,NYJ,21.3,NA,NA,NA,NA,0.825,NA,NA
15,NO,26.3,NYG,14.3,NA,NA,NA,NA,0.816,NA,NA
15,TEN,20.2,HOU,22.9,NA,NA,NA,NA,0.365,NA,NA
15,ARI,24.2,SF,31.1,NA,NA,NA,NA,0.265,NA,NA
15,LA,25.8,WAS,22.4,NA,NA,NA,NA,0.643,NA,NA
15,BUF,25.5,DAL,18.9,NA,NA,NA,NA,0.741,NA,NA
15,SEA,23.7,PHI,25.1,NA,NA,NA,NA,0.468,NA,NA
15,JAX,20.9,BAL,24.1,NA,NA,NA,NA,0.359,NA,NA
15,NE,20.1,KC,24.1,NA,NA,NA,NA,0.396,NA,NA
16,LA,22.2,NO,23,NA,NA,NA,NA,0.591,NA,NA
16,PIT,20.8,CIN,20.2,NA,NA,NA,NA,0.5,NA,NA
